"impcParameterOrigId","name","description","parameterId","parameter_group"
7636,"Population average","","IMPC_MAA_001_001","Others"
7637,"T-statistics determinents","","IMPC_MAA_002_001","Others"
7638,"T-statistics intensities","","IMPC_MAA_003_001","Others"
7639,"FDR thresholds for determinents",NA,"IMPC_MAA_004_001","Others"
7640,"FDR thresholds for intensities",NA,"IMPC_MAA_005_001","Others"
7641,"Used WT specimen names",NA,"IMPC_MAA_006_001","Others"
7642,"Used MUT specimen names",NA,"IMPC_MAA_007_001","Others"
7643,"Version of pydpiper",NA,"IMPC_MAA_008_001","Others"
7644,"Data analysis finished",NA,"IMPC_MAA_009_001","Others"
16384,"Distance travelled","distance_travelled","IMPC_OFD_005_001","Others"
16385,"Number of Rears","number_of_rears","IMPC_OFD_006_001","Others"
16386,"Whole arena resting time","whole_arena_resting_time","IMPC_OFD_007_001","Others"
16387,"Whole arena permanence","whole_arena_permanence","IMPC_OFD_008_001","Others"
16388,"Whole arena average speed","whole_arena_average_speed","IMPC_OFD_009_001","Others"
16389,"Periphery distance travelled","periphery_distance_travelled","IMPC_OFD_010_001","Others"
16390,"Periphery resting time","periphery_resting_time","IMPC_OFD_011_001","Others"
16391,"Periphery permanence time","periphery_permanence_time","IMPC_OFD_012_001","Others"
16392,"Periphery average speed","periphery_average_speed","IMPC_OFD_013_001","Others"
16393,"Center distance travelled","center_distance_travelled","IMPC_OFD_014_001","Others"
16394,"Center resting time","center_resting_time","IMPC_OFD_015_001","Others"
16395,"Center permanence time","center_permanence_time","IMPC_OFD_016_001","Others"
16396,"Center average speed","center_average_speed","IMPC_OFD_017_001","Others"
16397,"Latency to center entry","latency_to_center_entry","IMPC_OFD_018_001","Others"
16398,"Number of center entries","number_of_center_entries","IMPC_OFD_019_001","Others"
16399,"Distance travelled - total","distance_travelled_total","IMPC_OFD_020_001","Others"
16400,"Number of rears - total","number_of_rears_total","IMPC_OFD_021_001","Others"
16401,"Percentage center time","percentage_center_time","IMPC_OFD_022_001","Others"
16402,"Equipment ID","equipment_name","IMPC_OFD_023_001","General_and_Equipment"
16403,"Equipment manufacturer","equipment_manufacturer","IMPC_OFD_024_001","General_and_Equipment"
16404,"Equipment model","equipment_model","IMPC_OFD_025_001","General_and_Equipment"
16405,"Central zone surface area","central_zone_surface_area","IMPC_OFD_026_001","Others"
16406,"Light intensity in the centre of the arena","light_intensity_in_the_centre_of_the_arena","IMPC_OFD_027_001","Others"
16407,"Number of animals per cage","number_of_animals_per_cage","IMPC_OFD_028_001","Others"
16408,"Color of arena","color_of_arena","IMPC_OFD_029_001","Others"
16409,"Height of the wall","height_of_the_wall","IMPC_OFD_030_001","Others"
16410,"Distance from light source: if direct illumination","distance_from_light_source_if_direct_illuminaton","IMPC_OFD_031_001","Others"
16411,"Periphery zone","periphery_zone","IMPC_OFD_032_001","Others"
16412,"Type of analysis","type_of_analysis","IMPC_OFD_033_001","Others"
16413,"Arena Size","arena_size","IMPC_OFD_034_001","Others"
16414,"Experimenter ID","experimenter","IMPC_OFD_035_001","Others"
16415,"Disinfectant","disinfectant","IMPC_OFD_036_001","Others"
16416,"Start Time","start_time","IMPC_OFD_037_001","Others"
16417,"Arena ID","arena_id","IMPC_OFD_038_001","Others"
16418,"Software Version","software_version","IMPC_OFD_039_001","Others"
16419,"Arena Material","arena_material","IMPC_OFD_040_001","Others"
16420,"Date equipment last calibrated","","IMPC_OFD_041_001","General_and_Equipment"
16421,"Whole arena resting time series","","IMPC_OFD_001_001","Others"
16422,"Whole arena average speed series","","IMPC_OFD_002_001","Others"
16423,"Periphery distance travelled series","","IMPC_OFD_003_001","Others"
16424,"Periphery resting time series","","IMPC_OFD_004_001","Others"
16425,"Periphery permanence time series","","IMPC_OFD_042_001","Others"
16426,"Periphery average speed series","","IMPC_OFD_043_001","Others"
16427,"Center distance travelled series","","IMPC_OFD_044_001","Others"
16428,"Center resting time series","","IMPC_OFD_045_001","Others"
16429,"Center permanence time series","","IMPC_OFD_046_001","Others"
16430,"Center average speed series","","IMPC_OFD_047_001","Others"
16431,"Number of center entries series","","IMPC_OFD_048_001","Others"
16432,"Light beam barrier height (Z axis)","height of the Z axis light beam used to determine when mouse is rearing","IMPC_OFD_049_001","Others"
16825,"Tail - presence","tail_presence","IMPC_CSD_001_001","Others"
16826,"Tail - length","tail_length","IMPC_CSD_002_001","Others"
16827,"Tail - thickness","tail_thickness","IMPC_CSD_003_001","Others"
16828,"Tail - morphology","tail_morphology","IMPC_CSD_004_001","Others"
16829,"Coat - color - back","coat_color_back","IMPC_CSD_005_001","Others"
16830,"Coat - color - head","coat_color_head","IMPC_CSD_006_001","Others"
16831,"Coat - color - abdomen","coat_color_abdomen","IMPC_CSD_007_001","Others"
16832,"Coat - color pattern - back","coat_color_pattern_back","IMPC_CSD_008_001","Others"
16833,"Coat - color pattern - head","coat_color_pattern_head","IMPC_CSD_009_001","Others"
