"mouse_strain","parameter_group","parameter_name","gene_symbol","combined_pvalue"
"129SV","Behavior","activity (body position)","ASXL1",0.419832290818878
"129SV","Behavior","activity (body position)","CHD7",0.753908066837867
"129SV","Behavior","activity (body position)","FKBP7",0.410656152242556
"129SV","Behavior","activity (body position)","GTF3C5",0.874143979604916
"129SV","Behavior","activity (body position)","SMYD3",0.40961093666333
"129SV","Behavior","activity (body position)","SNIP1",0.98091784783409
"129SV","Behavior","activity (body position)","SRSF4",0.336066091037293
"129SV","Behavior","activity (body position)","ZRANB2",0.962909928719906
"129SV","Behavior","locomotor activity","ASXL1",0.262206134738895
"129SV","Behavior","locomotor activity","CHD7",0.4244962
"129SV","Behavior","locomotor activity","FKBP7",0.993203351695837
"129SV","Behavior","locomotor activity","GTF3C5",0.817027836001446
"129SV","Behavior","locomotor activity","SMYD3",0.9971787939819
"129SV","Behavior","locomotor activity","SNIP1",0.875684219608027
"129SV","Behavior","locomotor activity","SRSF4",0.990969565157376
"129SV","Behavior","locomotor activity","ZRANB2",0.558214984767086
"129SV","Behavior","percentage center movement time","ASXL1",0.398126371131248
"129SV","Behavior","percentage center movement time","CHD7",0.984279086850859
"129SV","Behavior","percentage center movement time","FKBP7",0.476038675479609
"129SV","Behavior","percentage center movement time","GTF3C5",0.324595675486371
"129SV","Behavior","percentage center movement time","SMYD3",0.894280644499521
"129SV","Behavior","percentage center movement time","SNIP1",0.992805918271277
"129SV","Behavior","percentage center movement time","SRSF4",0.927768980763825
"129SV","Behavior","percentage center movement time","ZRANB2",0.456000105895137
"129SV","Behavior","spontaneous movement","ASXL1",0.791324572246873
"129SV","Behavior","spontaneous movement","CHD7",0.389756476242424
"129SV","Behavior","spontaneous movement","FKBP7",0.694361435181232
"129SV","Behavior","spontaneous movement","GTF3C5",0.287465342794684
"129SV","Behavior","spontaneous movement","SMYD3",0.714275817948497
"129SV","Behavior","spontaneous movement","SNIP1",0.505698258124054
"129SV","Behavior","spontaneous movement","SRSF4",0.93663027309586
"129SV","Behavior","spontaneous movement","ZRANB2",0.521472363092018
"129SV","Behavior","unexpected behaviors","ASXL1",0.920387962687212
"129SV","Behavior","unexpected behaviors","CHD7",0.896209991613655
"129SV","Behavior","unexpected behaviors","FKBP7",0.552350937258152
"129SV","Behavior","unexpected behaviors","GTF3C5",0.794811891124081
"129SV","Behavior","unexpected behaviors","SMYD3",0.331268153698098
"129SV","Behavior","unexpected behaviors","SNIP1",0.368684774383251
"129SV","Behavior","unexpected behaviors","SRSF4",0.788962194617962
"129SV","Behavior","unexpected behaviors","ZRANB2",0.9437952
"129SV","Blood","blood vessel morphology","ASXL1",0.5791001
"129SV","Blood","blood vessel morphology","CHD7",0.678282130806876
"129SV","Blood","blood vessel morphology","FKBP7",0.369453666489211
"129SV","Blood","blood vessel morphology","GTF3C5",0.631225071552418
"129SV","Blood","blood vessel morphology","SMYD3",0.759537050499806
"129SV","Blood","blood vessel morphology","SNIP1",0.200366382881453
"129SV","Blood","blood vessel morphology","SRSF4",0.757315351795425
"129SV","Blood","blood vessel morphology","ZRANB2",0.256795698870187
"129SV","Blood","eye hemorrhage or blood presence","ASXL1",0.529029661756031
"129SV","Blood","eye hemorrhage or blood presence","CHD7",0.821965546483581
"129SV","Blood","eye hemorrhage or blood presence","FKBP7",0.734386636321429
"129SV","Blood","eye hemorrhage or blood presence","GTF3C5",0.836175714057767
"129SV","Blood","eye hemorrhage or blood presence","SMYD3",0.855544174232647
"129SV","Blood","eye hemorrhage or blood presence","SNIP1",0.420795190699837
"129SV","Blood","eye hemorrhage or blood presence","SRSF4",0.526048630775721
"129SV","Blood","eye hemorrhage or blood presence","ZRANB2",0.725277871171645
"129SV","Blood","fasted blood glucose concentration","ASXL1",0.454445246271278
"129SV","Blood","fasted blood glucose concentration","CHD7",0.729596140630924
"129SV","Blood","fasted blood glucose concentration","FKBP7",0.874355854346844
"129SV","Blood","fasted blood glucose concentration","GTF3C5",0.219690988331721
"129SV","Blood","fasted blood glucose concentration","SMYD3",0.581248595966596
"129SV","Blood","fasted blood glucose concentration","SNIP1",0.321483213256515
"129SV","Blood","fasted blood glucose concentration","SRSF4",0.183010767806102
"129SV","Blood","fasted blood glucose concentration","ZRANB2",0.137734766342387
"129SV","Blood","hemoglobin","ASXL1",0.636380263708355
"129SV","Blood","hemoglobin","CHD7",0.496077538435205
"129SV","Blood","hemoglobin","FKBP7",0.675910954939738
"129SV","Blood","hemoglobin","GTF3C5",0.523349192515606
"129SV","Blood","hemoglobin","SMYD3",0.999726193840716
"129SV","Blood","hemoglobin","SNIP1",0.554854596079268
"129SV","Blood","hemoglobin","SRSF4",0.0801922864117546
"129SV","Blood","hemoglobin","ZRANB2",0.661062827610875
"129SV","Blood","mean cell hemoglobin concentration","ASXL1",0.0984830999999999
"129SV","Blood","mean cell hemoglobin concentration","CHD7",0.315831440914885
"129SV","Blood","mean cell hemoglobin concentration","FKBP7",0.608057887168882
"129SV","Blood","mean cell hemoglobin concentration","GTF3C5",0.731015408260793
"129SV","Blood","mean cell hemoglobin concentration","SMYD3",0.486032239539482
"129SV","Blood","mean cell hemoglobin concentration","SNIP1",0.4662456
"129SV","Blood","mean cell hemoglobin concentration","SRSF4",0.241740271912016
"129SV","Blood","mean cell hemoglobin concentration","ZRANB2",0.456291357384226
"129SV","Blood","mean corpuscular hemoglobin","ASXL1",0.869153151207918
"129SV","Blood","mean corpuscular hemoglobin","CHD7",0.782871076903404
"129SV","Blood","mean corpuscular hemoglobin","FKBP7",0.324751581833785
