"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue","qc_failure_count","qc_pvalue_failure_count"
"000o7ub5mtl2j33","MGI:104742","KCNJ3","C57BL","Early adult","JAXLA_DXA_008_001","lean/body weight",1.451129,0,1
"0016341kad903gb","MGI:1351627","PDHX","C57BL","Early adult","IMPC_HEM_033_001","monocyte differential count",1.293499,0,1
"0026n3bpem35653","MGI:1201792","PDE1A","C57BL","Early adult","IMPC_XRY_012_001","pelvis",1.214774,0,1
"0033u0t6k567llr","MGI:1861453","ACTL6A","C57BL","E9.5","ESLIM_007_001_008","periphery permanence time",1.074841,0,1
"0050e1nh1kt4l03","MGI:2183102","SARDH","C57BL","Early adult","IMPC_GRS_008_001","forelimb grip strength measurement mean",1.093216,0,1
"0055k7w4a7v6q4k","MGI:88294","CACNA1S","C53BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli",1.346702,0,1
"008s2885tuejc5s","MGI:1289192","FBXO36","C57BL","Early adult","ESLIM_015_001_006","chloride",1.359652,0,1
"00c215b39lo3v82","MGI:1921696","SLC9B1","C57BL","Middle aged adult","IMPC_CSD_024_001","vibrissae - appearance",1.490694,0,1
"00iq96vi2em1p35","MGI:2449980","NOXA1","C57BL","Early adult","IMPC_GEP_004_002","spontaneous movement",1.111102,0,1
"00to60rg0u87q34","MGI:2386797","ST8SIA6","C57BL","Early adult","GMC_923_001_001","body weight",1.298528,0,1
"014ae7d374nejp7","MGI:104742","KCNJ3","C57BL","Early adult","IMPC_HEM_027_001","red blood cell distribution width",1.329235,0,1
"0157v88v6am1rj9","MGI:1919955","ZCCHC17","C57BL","Early adult","IMPC_XRY_018_001","shape of vertebrae",1.17578,0,1
"01hlh78g1kk0nlv","MGI:1919325","OGFR","C57BL","Early adult","UCD_OWT_004_001","left kidney",1.108165,0,1
"01p833f5wy53gy3","MGI:1925867","CSTAD","C57BL","Early adult","IMPC_OWT_002_001","spleen weight",1.358577,0,1
"01uo92825h47z9w","MGI:2444646","HPDL","C57BL","Early adult","M-G-P_014_001_006","cornea",1.164652,0,1
"026impu4a49e43x","MGI:2676921","FOCAD","C57BL","Late adult","IMPC_OFD_021_001","number of rears - total",1.192367,0,1
"027tu3m02248qzj","MGI:2682639","DDX31","C57BL","E12.5","M-G-P_025_001_021","uric acid",1.240906,0,1
"0292v7qj6ej1p54","MGI:3780953","MNDAL","C57BL","E15.5","IMPC_GPP_004_001","placenta size",1.186733,0,1
"02f3p7z34635r3w","MGI:1098826","COQ4","C57BL","Early adult","IMPC_XRY_012_001","pelvis",1.140356,0,1
"02v8qsyu4bfu09p","MGI:1201792","PDE1A","C57BL","Middle aged adult","IMPC_GEO_063_001","craniofacial morphology",1.193052,0,1
"0334ca7w576e06v","MGI:2442676","CDC14A","C57BL","Early adult","IMPC_HWT_002_001","tibia length",1.431071,0,1
"033d41v35o4l328","MGI:2138982","ZNFX1","C57BL","Early adult","IMPC_EYE_057_001","min right eye lens density",1.340391,0,1
"036b1tlt73166mk","MGI:1916976","SMYD3","C57BL","Early adult","IMPC_XRY_033_001","tibia length",1.214786,0,1
"03hoorrr12qsx87","MGI:2684058","TBPL2","B6J","Early adult","IMPC_ABR_006_001","12khz-evoked abr threshold",1.374082,0,1
"03yn193996307do","MGI:2180715","ZFP704","C57BL","Early adult","IMPC_GEM_019_001","embryo size",1.240096,0,1
"03ypv40kub749xb","MGI:95521","FGF7","C57BL","Early adult","ESLIM_013_001_003","left retina",1.423468,0,1
"0477fg3b8b07oa8","MGI:1930948","GAR1","C57BL","Early adult","IMPC_HEM_034_001","monocyte cell count",1.336091,0,1
"04bodt1379aqi4d","MGI:1918103","VWA3B","C57BL","Early adult","IMPC_EYE_070_001","left outer nuclear layer",1.238157,0,1
"04d3s4bc0nnmcg5","MGI:1861453","ACTL6A","C57BL","Early adult","JAX_SLW_013_001","breath rate during sleep mean",1.12732,0,1
"04d691h761u9385","MGI:99632","KCNB2","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin",1.482533,0,1
"04msa4v77au9vz5","MGI:1201792","PDE1A","C57BL","Late adult","IMPC_GPO_003_001","placenta vasculature",1.415328,0,1
